%%% Estimate of the ocean energy budget. The energy budgets are relative to 1958-1962 base period. 
%%%  Reference: Cheng L. *, K. Trenberth, J. Fasullo, T. Boyer, J. Abraham, J. Zhu, 2017: Improved estimates of ocean heat content from 1960 to 2015, Science Advances, 3, e1601545. 
%%% Update date: Dec 2016 by L.Cheng

%%% Note: here the uncertainty (error bar) includes mapping error (due to sampling) at upper 2000m and error for OHC values below 2000m. There are other error sources, i.e. XBT bias, an independent estimate on uncertainty due to XBT bias will be provided soon by our group.

"year" "month" "Ocean-Energy 10^22 Joules" "Errorbar, lower bound,95%CI" "Errorbar, upper bound, 95%CI"
1960 1 -2.97 -9.96 4.03
1960 2 -2.66 -9.61 4.30
1960 3 -2.43 -9.27 4.42
1960 4 -2.09 -8.94 4.76
1960 5 -1.76 -8.60 5.07
1960 6 -1.33 -8.25 5.59
1960 7 -1.10 -8.06 5.86
1960 8 -0.86 -7.66 5.94
1960 9 -0.49 -7.45 6.47
1960 10 -0.23 -7.25 6.79
1960 11 0.07 -6.90 7.04
1960 12 0.45 -6.47 7.37
1961 1 0.68 -6.49 7.85
1961 2 0.79 -6.32 7.90
1961 3 0.74 -6.39 7.86
1961 4 0.61 -6.53 7.75
1961 5 0.46 -6.57 7.50
1961 6 0.34 -6.70 7.38
1961 7 0.36 -6.82 7.54
1961 8 0.37 -6.84 7.57
1961 9 0.47 -6.86 7.80
1961 10 0.56 -6.49 7.62
1961 11 0.74 -6.12 7.60
1961 12 0.86 -6.01 7.73
1962 1 1.14 -5.83 8.12
1962 2 1.44 -5.69 8.56
1962 3 1.88 -5.08 8.84
1962 4 2.33 -4.68 9.33
1962 5 2.71 -4.04 9.46
1962 6 2.94 -3.47 9.36
1962 7 3.18 -3.08 9.43
1962 8 3.28 -3.13 9.69
1962 9 3.52 -2.95 9.99
1962 10 3.61 -2.93 10.15
1962 11 3.71 -3.01 10.43
1962 12 3.70 -2.96 10.36
1963 1 3.64 -2.94 10.22
1963 2 3.43 -2.97 9.83
1963 3 3.16 -3.30 9.63
1963 4 2.95 -3.31 9.21
1963 5 2.74 -3.48 8.95
1963 6 2.42 -3.59 8.43
1963 7 2.19 -3.46 7.85
1963 8 2.09 -3.79 7.98
1963 9 1.89 -4.11 7.89
1963 10 1.54 -4.51 7.59
1963 11 1.30 -4.63 7.24
