"% year" "heat-anomaly (10^22 J)" "std.dev. (10^22 J)"
1960 -3.799103656107155 3.4604518068671717
1961 -1.9393484349079633 3.548033045667794
1962 0.27426800344820146 3.3473212148027405
1963 -0.1568004897024835 3.0602970466441044
1964 -2.265852289986936 3.249615078088127
1965 -0.6309648732641278 3.2144737100926357
1966 0.2831447157769684 3.0096219668858155
1967 0.06078855139340611 2.636469281818509
1968 -2.505087262664532 2.4466240122620087
1969 -4.907074462305223 2.504748996256227
1970 -4.90477309244221 2.4342266640670083
1971 -1.6838963801134428 2.386105943863865
1972 -3.194868683429559 2.4167083047100753
1973 -0.3828552842230315 2.596279674974353
1974 3.0955830719413515 2.6477670613101343
1975 3.0330625239961466 2.7286467366990967
1976 1.8087651963518607 2.761689190657115
1977 1.3133090993386127 2.651871631637725
1978 0.22519951029751661 2.337745254879652
1979 0.11580225002354361 2.1900635819881313
1980 1.705185961379184 2.1889047558207384
1981 0.07465156509203652 2.226066082909367
1982 -2.445403229428511 2.0662889108287104
1983 -2.2964169280586484 2.0116167763255803
1984 -1.9489397216809252 1.9261315246558903
1985 0.8629529349550502 1.9051453761090227
1986 3.8986515650920377 1.8125450395915532
1987 3.709610469201625 1.6872827511095412
1988 4.104284322034923 1.7135085678285529
1989 4.110898140434502 1.7683219349862245
1990 4.38522690755779 1.732832624378243
1991 6.519446085639981 1.7767675166490349
1992 6.514420934056778 1.6126890536016418
1993 6.861857044544092 1.448006328980341
1994 8.690541976050941 1.4328536762468969
1995 7.402404989749572 1.3377996655723456
1996 8.809038420395577 1.3377208974421952
1997 10.551994030845462 1.2392671552945236
1998 12.75122690755779 1.1315691917052348
1999 14.402706359612583 1.0628992078402346
2000 14.311442791980273 1.0669288441456375
2001 14.79432279796875 0.9611818852009003
2002 17.528925537694775 0.9231052048266667
2003 20.043062523996145 0.8981444341850224
2004 20.905404540614153 0.9041418432290345
2005 21.50972005824272 0.9442397826417233
2006 22.775363893859158 0.9596747094433645
2007 23.048021428105734 1.0176108535757018
2008 24.61832803788192 1.0371432825432512
2009 25.20566526372218 1.0276113078396911
2010 25.506843345913953 1.0148585163554464
2011 26.686843345913953 1.0200008058014542
2012 28.67775426739011 1.0442363931642793
2013 29.430925537694776 1.050004240043624
2014 29.59418581166738 1.0691836278848392
